INFO:root:Namespace(aug_level=2, batch_size=24, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=True, gpus='0,1,2,3', kv_store='local', list_dir='./', lr=0.1, memonger=True, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='4', retrain=False, wd=0.0001, workspace=512)
[13:57:20] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
[13:57:20] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[13:57:21] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3)]
INFO:root:Epoch[0] Batch [50]	Speed: 220.35 samples/sec	accuracy=0.170000
INFO:root:Epoch[0] Batch [100]	Speed: 1039.95 samples/sec	accuracy=0.260000
INFO:root:Epoch[0] Batch [150]	Speed: 1038.93 samples/sec	accuracy=0.240833
INFO:root:Epoch[0] Batch [200]	Speed: 1053.21 samples/sec	accuracy=0.265833
INFO:root:Epoch[0] Batch [250]	Speed: 1039.97 samples/sec	accuracy=0.279167
INFO:root:Epoch[0] Batch [300]	Speed: 996.49 samples/sec	accuracy=0.323333
INFO:root:Epoch[0] Batch [350]	Speed: 949.17 samples/sec	accuracy=0.335000
INFO:root:Epoch[0] Batch [400]	Speed: 918.77 samples/sec	accuracy=0.334167
INFO:root:Epoch[0] Batch [450]	Speed: 959.94 samples/sec	accuracy=0.352500
INFO:root:Epoch[0] Batch [500]	Speed: 1123.34 samples/sec	accuracy=0.341667
INFO:root:Epoch[0] Batch [550]	Speed: 1018.06 samples/sec	accuracy=0.368333
INFO:root:Epoch[0] Batch [600]	Speed: 954.31 samples/sec	accuracy=0.387500
INFO:root:Epoch[0] Batch [650]	Speed: 947.54 samples/sec	accuracy=0.389167
INFO:root:Epoch[0] Batch [700]	Speed: 961.45 samples/sec	accuracy=0.410000
INFO:root:Epoch[0] Batch [750]	Speed: 928.96 samples/sec	accuracy=0.377500
INFO:root:Epoch[0] Batch [800]	Speed: 1109.61 samples/sec	accuracy=0.412500
INFO:root:Epoch[0] Batch [850]	Speed: 1042.24 samples/sec	accuracy=0.426667
INFO:root:Epoch[0] Batch [900]	Speed: 1061.13 samples/sec	accuracy=0.410000
